x,y,cluster_id
242578.000000,13469.000000,0
383138.000000,414652.000000,35
67768.000000,993126.000000,61
484308.000000,765337.000000,92
31833.000000,30935.000000,97
932640.000000,887879.000000,36
591329.000000,478778.000000,39
833354.000000,186335.000000,46
735652.000000,115053.000000,80
698658.000000,355604.000000,49
638300.000000,908210.000000,6
294000.000000,264971.000000,32
377493.000000,541620.000000,77
9281.000000,999465.000000,61
12901.000000,842497.000000,87
852470.000000,467010.000000,91
53607.000000,976747.000000,61
196754.000000,856972.000000,90
144213.000000,800662.000000,90
729397.000000,985790.000000,21
183405.000000,499760.000000,83
469862.000000,970991.000000,76
450770.000000,95791.000000,5
974081.000000,390235.000000,29
680670.000000,26669.000000,19
231241.000000,468739.000000,94
97960.000000,415410.000000,43
796294.000000,316402.000000,42
778534.000000,828493.000000,50
487140.000000,369048.000000,88
602845.000000,24264.000000,15
811111.000000,355792.000000,11
806109.000000,274877.000000,42
859817.000000,951019.000000,55
777276.000000,680837.000000,7
835185.000000,961129.000000,55
705424.000000,73751.000000,19
536857.000000,957185.000000,76
418065.000000,418776.000000,35
381617.000000,836927.000000,13
240062.000000,726211.000000,63
431612.000000,116690.000000,5
223913.000000,309587.000000,60
244801.000000,377033.000000,94
807539.000000,314736.000000,11
775229.000000,283334.000000,42
996348.000000,632867.000000,82
600910.000000,509480.000000,30
834128.000000,199442.000000,46
35980.000000,730005.000000,31
197911.000000,293197.000000,60
770346.000000,214750.000000,42
309220.000000,60662.000000,81
557590.000000,416916.000000,39
115944.000000,685545.000000,4
959950.000000,893088.000000,36
136133.000000,997800.000000,70
27973.000000,148064.000000,8
522975.000000,641339.000000,69
989146.000000,578132.000000,34
680530.000000,674978.000000,14
362046.000000,914709.000000,48
530369.000000,917610.000000,76
283108.000000,208988.000000,65
471815.000000,806578.000000,92
161689.000000,514298.000000,83
813117.000000,64168.000000,86
479624.000000,43309.000000,20
902915.000000,294501.000000,10
685730.000000,66033.000000,19
821219.000000,242774.000000,10
310257.000000,492554.000000,44
356179.000000,307990.000000,3
396981.000000,70916.000000,85
886516.000000,684032.000000,74
528226.000000,902819.000000,22
686503.000000,63316.000000,19
152140.000000,23765.000000,25
418942.000000,174793.000000,38
752751.000000,490316.000000,27
747743.000000,329274.000000,42
117577.000000,118127.000000,99
374985.000000,376969.000000,35
728744.000000,14480.000000,54
382012.000000,490499.000000,77
827576.000000,79664.000000,86
923967.000000,118042.000000,12
938251.000000,195973.000000,78
726117.000000,857863.000000,50
103637.000000,838910.000000,90
565110.000000,810400.000000,22
406969.000000,934977.000000,48
160874.000000,816054.000000,90
431739.000000,248100.000000,38
830522.000000,596218.000000,45
645779.000000,608168.000000,23
495466.000000,304382.000000,2
755627.000000,828610.000000,50
455550.000000,438144.000000,24
897430.000000,118944.000000,12
98993.000000,780745.000000,31
997533.000000,539816.000000,34
698849.000000,561277.000000,27
384785.000000,92576.000000,5
929386.000000,192648.000000,12
841254.000000,969376.000000,55
318446.000000,127999.000000,62
288386.000000,909935.000000,33
279052.000000,41813.000000,81
755507.000000,809000.000000,50
866244.000000,973541.000000,55
313587.000000,467795.000000,44
243042.000000,823442.000000,63
599615.000000,743697.000000,53
327666.000000,83176.000000,81
951140.000000,823081.000000,36
527120.000000,310801.000000,57
646964.000000,528517.000000,96
786098.000000,952490.000000,55
515310.000000,819254.000000,92
207082.000000,441170.000000,94
757169.000000,750570.000000,98
841330.000000,249551.000000,10
217528.000000,1761.000000,0
607765.000000,712493.000000,53
871078.000000,223776.000000,10
14974.000000,680695.000000,84
452619.000000,175360.000000,38
288399.000000,131390.000000,62
272306.000000,650010.000000,66
719640.000000,990750.000000,21
535380.000000,148002.000000,93
469616.000000,838895.000000,13
313226.000000,398227.000000,37
5279.000000,739131.000000,31
580105.000000,833601.000000,22
347811.000000,666053.000000,66
354997.000000,440055.000000,35
14917.000000,711650.000000,84
706767.000000,635577.000000,7
146365.000000,957588.000000,70
183773.000000,679719.000000,79
48126.000000,868372.000000,87
730391.000000,687771.000000,14
373259.000000,371670.000000,35
663645.000000,885499.000000,41
586741.000000,364693.000000,57
406085.000000,74556.000000,85
75646.000000,387667.000000,9
531298.000000,530090.000000,30
229012.000000,19601.000000,0
439383.000000,726733.000000,95
208291.000000,749221.000000,63
166750.000000,575130.000000,83
211249.000000,463602.000000,94
769233.000000,500985.000000,27
67848.000000,329471.000000,9
430095.000000,618497.000000,64
83209.000000,503956.000000,58
994746.000000,709053.000000,82
62870.000000,660778.000000,84
710643.000000,782564.000000,14
561766.000000,616936.000000,69
851959.000000,876326.000000,71
416611.000000,994392.000000,48
751597.000000,103922.000000,54
622708.000000,854272.000000,41
763144.000000,172256.000000,80
113940.000000,992884.000000,70
414314.000000,380142.000000,88
62500.000000,450930.000000,58
789565.000000,228458.000000,42
697292.000000,386877.000000,89
247648.000000,231501.000000,65
849283.000000,902588.000000,55
803927.000000,613533.000000,7
663457.000000,738469.000000,14
452902.000000,931007.000000,76
436138.000000,171789.000000,38
273068.000000,465220.000000,44
955457.000000,369525.000000,29
607397.000000,533230.000000,30
999677.000000,575269.000000,34
555215.000000,505000.000000,30
540809.000000,380896.000000,39
724384.000000,729940.000000,14
104473.000000,885740.000000,87
639572.000000,287519.000000,59
332946.000000,834822.000000,33
860169.000000,869593.000000,71
256492.000000,871667.000000,33
117700.000000,192914.000000,67
305697.000000,859094.000000,33
796018.000000,674653.000000,7
900226.000000,112347.000000,12
221747.000000,915444.000000,52
880066.000000,285789.000000,10
257319.000000,771158.000000,63
