x,y,cluster_id
242578.000000,13469.000000,0
383138.000000,414652.000000,36
67768.000000,993126.000000,64
484308.000000,765337.000000,86
31833.000000,30935.000000,24
932640.000000,887879.000000,96
591329.000000,478778.000000,52
833354.000000,186335.000000,51
735652.000000,115053.000000,72
698658.000000,355604.000000,98
638300.000000,908210.000000,92
294000.000000,264971.000000,6
377493.000000,541620.000000,32
9281.000000,999465.000000,64
12901.000000,842497.000000,44
852470.000000,467010.000000,79
53607.000000,976747.000000,64
196754.000000,856972.000000,47
144213.000000,800662.000000,2
729397.000000,985790.000000,60
183405.000000,499760.000000,58
469862.000000,970991.000000,74
450770.000000,95791.000000,4
974081.000000,390235.000000,97
680670.000000,26669.000000,82
231241.000000,468739.000000,13
97960.000000,415410.000000,21
796294.000000,316402.000000,39
778534.000000,828493.000000,81
487140.000000,369048.000000,62
602845.000000,24264.000000,22
811111.000000,355792.000000,39
806109.000000,274877.000000,39
859817.000000,951019.000000,88
777276.000000,680837.000000,70
835185.000000,961129.000000,88
705424.000000,73751.000000,38
536857.000000,957185.000000,92
418065.000000,418776.000000,36
381617.000000,836927.000000,56
240062.000000,726211.000000,55
431612.000000,116690.000000,20
223913.000000,309587.000000,29
244801.000000,377033.000000,13
807539.000000,314736.000000,39
775229.000000,283334.000000,85
996348.000000,632867.000000,26
600910.000000,509480.000000,52
834128.000000,199442.000000,51
35980.000000,730005.000000,68
197911.000000,293197.000000,1
770346.000000,214750.000000,51
309220.000000,60662.000000,0
557590.000000,416916.000000,28
115944.000000,685545.000000,40
959950.000000,893088.000000,5
136133.000000,997800.000000,12
27973.000000,148064.000000,9
522975.000000,641339.000000,73
989146.000000,578132.000000,26
680530.000000,674978.000000,42
362046.000000,914709.000000,25
530369.000000,917610.000000,57
283108.000000,208988.000000,6
471815.000000,806578.000000,56
161689.000000,514298.000000,58
813117.000000,64168.000000,87
479624.000000,43309.000000,14
902915.000000,294501.000000,46
685730.000000,66033.000000,38
821219.000000,242774.000000,51
310257.000000,492554.000000,32
356179.000000,307990.000000,59
396981.000000,70916.000000,4
886516.000000,684032.000000,70
528226.000000,902819.000000,57
686503.000000,63316.000000,38
152140.000000,23765.000000,3
418942.000000,174793.000000,20
752751.000000,490316.000000,53
747743.000000,329274.000000,85
117577.000000,118127.000000,80
374985.000000,376969.000000,59
