x,y,cluster_id
45168,87011,5
95539,19158,6
94090,11091,6
54545,9962,6
5240,72794,4
78146,33301,1
57339,28763,7
21361,35013,3
79432,14736,6
70211,20505,6
68592,88954,0
32874,79584,5
94266,96637,0
66632,30412,6
71600,30105,6
53956,39546,7
85391,96510,0
80821,49433,1
5375,31163,3
92641,68528,0
96938,98098,0
56393,25623,7
41970,49340,7
69480,89393,0
50681,10280,2
945,17114,3
75955,94324,0
4884,92469,4
19805,46663,8
81813,2549,6
91918,69478,0
91310,56564,1
10808,88227,4
36469,63663,8
50457,52898,7
25288,10351,2
22811,70252,8
91961,57118,1
8308,51807,8
90872,59471,1
87562,29113,1
36559,30194,7
70885,37327,1
757,56236,8
7045,35665,3
90319,94342,0
37210,74049,5
83732,63907,1
4985,61115,8
35123,56855,8
73850,79977,0
40902,57779,7
85560,77431,0
44626,20141,2
8890,19656,3
3583,18996,3
21308,5852,2
32665,60990,8
73066,43227,1
45038,91910,5
53992,2690,6
47604,40748,7
78230,40929,1
63052,1124,6
697,78632,4
39205,12096,2
14267,65910,8
21898,41025,8
25175,40779,8
49272,74266,9
62691,75270,9
60661,58034,9
24041,24042,3
62575,92998,0
53313,50865,7
18159,22332,3
32573,10020,2
74677,9105,6
77494,81214,0
47287,14268,2
63404,24908,6
29137,57685,8
31269,91410,5
25503,60268,8
79181,27792,6
68084,67863,9
41354,49428,7
37535,79063,5
55519,76189,9
25553,34625,3
70832,37169,1
83303,44525,1
28257,72309,8
27848,69504,8
66136,54856,9
56594,62303,9
54208,81953,9
68553,24937,6
46617,44203,7
53562,60932,9
71377,91042,0
34361,52296,8
41096,75998,5
34313,52557,8
22874,31991,3
13452,3801,2
44277,69485,9
42050,79044,5
62080,12278,6
96926,95344,0
85260,47920,1
84539,56167,1
56649,62907,9
70940,33517,1
88848,43462,1
99802,98254,0
94796,73115,0
35103,53429,7
97525,90451,0
16099,1298,2
71861,33785,1
8742,56082,8
85857,44021,1
60889,86697,9
78989,17432,6
99733,4645,6
10392,28817,3
36109,52296,7
40619,40866,7
36551,25473,2
94237,43306,1
77433,97218,0
55992,57967,9
56087,50310,7
50171,13482,2
38408,35991,7
52078,26718,7
6544,44616,8
34190,16901,2
67630,83065,0
20774,94879,4
86708,34504,1
40002,50688,7
98079,97219,0
91492,85742,0
35516,48309,7
75955,20233,6
93055,12386,6
80454,60227,1
8510,43507,8
93445,45236,1
44739,69003,9
34502,53811,8
93687,80317,0
41034,62702,9
34650,24363,2
55836,12910,6
75614,97544,0
78125,71960,0
53153,34827,7
80867,38023,1
27244,26166,3
11137,75356,4
32080,8678,2
6405,25812,3
63757,39067,7
53312,47082,7
46715,89407,5
66743,5060,6
28506,94080,5
4734,94881,4
89914,33364,1
55433,5844,6
8196,53316,8
71901,86102,0
47207,53236,7
85972,15174,6
96496,46562,1
92046,2193,6
50319,87448,5
79008,49962,1
97140,89748,0
90183,87161,0
54845,1402,6
89496,34748,1
11337,56126,8
60011,73402,9
58354,31785,7
43963,26059,7
84716,6802,6
24820,44036,8
10531,25868,3
33591,37458,7
91879,98595,0
53301,60900,9
95778,66455,0
88506,74204,0
42787,55258,7
60270,85927,9
94663,49534,1
45217,53490,7
48011,25976,7
24639,256,2
97565,48988,1
5161,93811,4
61356,36120,7
48488,62224,9
54119,44426,7
8154,12395,3
17215,4644,2
94859,52150,1
57147,62278,9
22868,78030,4
69257,28223,6
109,28649,3
91827,84266,0
93804,91750,0
22587,80260,4
44556,49559,7
10629,8485,3
76963,55408,1
97199,77659,0
44328,53198,7
27243,87225,5
87134,15766,6
98082,34816,1
95082,5222,6
55816,12193,6
83133,58239,1
16326,99645,4
49633,53970,7
46133,85399,5
98595,87681,0
12158,37747,3
29085,45450,8
62724,61418,9
92964,63036,1
44720,54065,7
38557,65520,9
7175,52469,8
43396,44641,7
32797,89952,5
88364,32882,1
92268,84873,0
46694,94871,5
77207,19342,6
67627,98156,0
39955,9441,2
74683,73092,0
27328,65445,8
44083,675,2
6638,13975,3
53547,49842,7
15673,89366,4
58236,7359,6
96202,63565,1
59589,50286,7
59492,51651,7
81034,77413,0
785,97382,4
77921,28696,6
59099,62637,9
57555,53475,7
9507,18952,3
58985,66102,9
24711,77331,4
7174,7771,3
74333,83795,0
40975,85687,5
63650,59253,9
51027,74623,9
26320,63392,8
42310,89972,5
35434,90783,5
66046,89084,0
75318,6623,6
63259,97442,0
77832,9161,6
47105,70666,9
55740,10187,6
32475,9707,2
7524,21557,3
27896,88902,5
58995,19697,6
85869,77922,0
15337,39074,3
32343,84975,5
81552,93569,0
10738,59691,8
2398,51321,8
96703,12930,6
79906,55156,1
90454,99965,0
71817,8171,6
66255,57283,9
69944,87002,0
7602,25421,3
10459,29019,3
44220,88271,5
60767,16499,6
94794,50050,1
88949,14428,6
36456,33626,7
90072,1163,6
23306,15149,2
48838,32397,7
34369,19142,2
25713,50297,8
5613,56495,8
17307,7637,2
69068,66737,9
94296,69977,0
59683,45400,7
74289,56503,1
87821,87907,0
25073,83060,4
23619,71853,8
56513,73172,9
67658,66931,9
34822,98649,5
82893,39272,1
39539,18818,2
61910,60799,9
84620,19897,6
13147,24054,3
78037,12122,6
9368,68066,8
98751,75951,0
20630,82726,4
39300,39743,7
74298,11884,6
78070,17367,6
13644,62974,8
73140,89604,0
83064,71754,0
89733,52749,1
24567,53455,8
72320,65756,9
9958,52090,8
68709,40914,1
2226,48251,8
67777,3242,6
85796,11608,6
50815,76816,9
98161,51862,1
24713,45260,8
65226,88216,0
17416,31456,3
68322,46488,1
58927,68708,9
98194,73664,0
90503,79695,0
18528,66362,8
14001,82859,4
46224,34653,7
82362,45606,1
96301,96203,0
34700,66064,8
3175,66735,8
13755,6910,2
98156,42349,1
97521,17958,6
62114,315,6
89740,13176,6
75314,12566,6
33536,42419,7
25264,70074,8
88865,94935,0
29386,80272,5
19030,80723,4
52518,74340,9
73961,190,6
39171,22950,2
98408,72698,0
15342,20715,3
20508,57477,8
43526,14291,2
59156,28318,7
47561,84067,5
47452,95317,5
44368,88627,5
6165,19554,3
11364,1148,2
69435,46702,1
80772,42728,1
16549,43869,8
99898,20066,6
46918,75342,9
40923,63022,9
62657,11025,6
3440,9910,3
58940,32402,7
13131,95761,4
14342,91666,4
39052,94291,5
63477,12940,6
62128,5636,6
54156,19666,6
47025,8552,2
80402,5595,6
22841,1591,2
25974,47150,8
96253,58478,1
8179,36850,3
7237,71357,4
79876,45654,1
20521,3921,2
46827,28978,7
42517,34787,7
31991,4777,2
93924,48058,1
49281,79033,5
13646,87409,4
60852,13339,6
13928,78070,4
93786,26152,1
60106,34221,7
83806,42163,1
46072,43665,7
86480,83977,0
95835,99141,0
42104,83070,5
11148,41047,3
55172,79475,9
19656,5361,2
77849,54350,1
42438,11152,2
11454,81195,4
463,95969,4
61447,48365,7
21511,6877,2
5793,9985,3
16794,89052,4
62426,7506,6
80,89485,4
57557,18729,6
35509,73338,5
99686,13411,6
61364,12673,6
77838,34119,1
69349,36889,1
11896,59529,8
86903,73144,0
91397,27321,1
97621,70898,0
69600,76625,9
66475,51679,1
87407,53028,1
39048,76345,5
77153,24449,6
1419,74715,4
75273,50027,1
27604,72691,8
42457,65046,9
44648,1249,2
69555,92946,0
1244,20928,3
88614,41055,1
88866,31490,1
35661,37489,7
12842,44819,8
51411,92206,5
61770,85189,9
16733,29360,3
46338,58360,9
2800,99641,4
43102,69630,9
57943,54139,9
7245,64960,8
55567,71256,9
9075,77175,4
64553,15438,6
99160,51900,1
35838,76566,5
78095,41745,1
15477,55684,8
49028,52952,7
18326,29517,3
39207,72866,5
10026,9268,3
347,88604,4
93156,1568,6
58217,43520,7
45035,98553,5
53730,22552,7
22038,16054,2
51964,60768,9
54351,28571,7
56723,96857,5
88592,17793,6
45473,33467,7
2376,5756,3
45895,87261,5
28764,54671,8
12507,6080,3
55928,48720,7
71824,92009,0
62068,87544,9
68141,5137,6
32790,60395,8
