x,y,cluster_id
242578,13469,23
383138,414652,84
67768,993126,65
484308,765337,51
31833,30935,24
932640,887879,50
591329,478778,35
833354,186335,91
735652,115053,72
698658,355604,36
638300,908210,49
294000,264971,43
377493,541620,92
9281,999465,65
12901,842497,10
852470,467010,63
53607,976747,65
196754,856972,56
144213,800662,5
729397,985790,34
183405,499760,74
469862,970991,46
450770,95791,26
974081,390235,99
680670,26669,16
231241,468739,4
97960,415410,44
796294,316402,45
778534,828493,85
487140,369048,19
602845,24264,20
811111,355792,80
806109,274877,45
859817,951019,9
777276,680837,42
835185,961129,9
705424,73751,16
536857,957185,71
418065,418776,19
381617,836927,60
240062,726211,97
431612,116690,62
223913,309587,17
244801,377033,17
807539,314736,45
775229,283334,45
996348,632867,89
600910,509480,35
834128,199442,91
35980,730005,27
197911,293197,55
770346,214750,25
309220,60662,23
557590,416916,94
115944,685545,78
959950,893088,50
136133,997800,73
27973,148064,53
522975,641339,2
989146,578132,89
680530,674978,81
362046,914709,87
530369,917610,71
283108,208988,31
471815,806578,51
161689,514298,74
813117,64168,33
479624,43309,26
902915,294501,58
685730,66033,16
821219,242774,91
310257,492554,3
356179,307990,43
396981,70916,47
886516,684032,41
528226,902819,71
686503,63316,16
152140,23765,88
418942,174793,62
752751,490316,63
747743,329274,45
117577,118127,54
374985,376969,84
728744,14480,16
382012,490499,92
827576,79664,33
923967,118042,6
938251,195973,40
726117,857863,95
103637,838910,5
565110,810400,11
406969,934977,46
160874,816054,5
431739,248100,8
830522,596218,41
645779,608168,15
495466,304382,8
755627,828610,85
455550,438144,19
897430,118944,6
98993,780745,5
997533,539816,67
698849,561277,86
384785,92576,47
929386,192648,6
841254,969376,9
318446,127999,31
288386,909935,87
279052,41813,23
755507,809000,85
866244,973541,9
313587,467795,3
243042,823442,12
599615,743697,77
327666,83176,23
951140,823081,28
527120,310801,52
646964,528517,15
786098,952490,34
515310,819254,51
207082,441170,4
757169,750570,42
841330,249551,91
217528,1761,88
607765,712493,69
871078,223776,91
14974,680695,18
452619,175360,62
288399,131390,31
272306,650010,14
719640,990750,34
535380,148002,37
469616,838895,0
313226,398227,84
5279,739131,27
580105,833601,11
347811,666053,96
354997,440055,84
14917,711650,18
706767,635577,39
146365,957588,73
183773,679719,21
48126,868372,10
730391,687771,42
373259,371670,84
663645,885499,95
586741,364693,75
406085,74556,47
75646,387667,93
531298,530090,30
229012,19601,23
439383,726733,98
208291,749221,97
166750,575130,74
211249,463602,4
769233,500985,63
67848,329471,59
430095,618497,79
83209,503956,1
994746,709053,38
62870,660778,18
710643,782564,85
561766,616936,2
851959,876326,57
416611,994392,46
751597,103922,32
622708,854272,11
763144,172256,32
113940,992884,73
414314,380142,19
62500,450930,1
789565,228458,91
697292,386877,90
247648,231501,55
849283,902588,9
803927,613533,41
663457,738469,77
452902,931007,46
436138,171789,62
273068,465220,3
955457,369525,99
607397,533230,15
999677,575269,89
555215,505000,30
540809,380896,94
724384,729940,42
104473,885740,10
639572,287519,36
332946,834822,12
860169,869593,57
256492,871667,12
117700,192914,54
305697,859094,12
796018,674653,41
900226,112347,6
221747,915444,29
880066,285789,58
257319,771158,97
861762,644236,41
684291,882927,95
369671,66247,47
417820,301777,8
980466,702029,38
7364,783108,27
703318,672688,81
870522,869668,57
524434,177186,37
980344,642136,89
393063,217912,62
447246,868568,0
31640,773725,27
9819,42467,24
744825,278843,45
523351,969780,71
102327,819686,5
470454,926986,46
854907,426604,80
934752,387852,99
632230,906357,49
147351,540271,74
343122,859703,60
37949,811880,27
271485,855588,12
870383,540877,83
534808,524330,30
423039,21274,47
554457,763045,69
498689,467937,30
617602,46054,20
32396,486973,1
571333,395104,94
522923,772502,51
453133,808894,51
94785,52884,24
826935,303685,58
42690,506413,1
285958,109358,23
982686,19644,61
173411,524345,74
675854,86444,72
873180,538256,83
478759,506532,30
299840,413003,84
344194,871591,60
838942,102171,32
196498,555389,74
424329,714240,98
233338,727393,97
302701,508484,3
92123,325340,68
998452,999447,50
711751,399947,90
915277,68584,61
703078,646216,81
966967,821532,28
497813,752719,51
952957,363209,99
467852,199519,62
319607,637251,96
293620,877284,12
523256,367777,94
237859,699470,21
999000,202858,40
442180,722977,98
79262,168652,53
539282,715609,69
251904,750679,97
674102,637241,81
116274,231005,54
506655,355788,94
732259,84308,16
967997,128374,6
585623,581955,15
922186,193661,6
864539,311585,58
811253,744298,64
429059,196341,62
917628,585903,89
274474,86126,23
521532,393337,94
826258,922274,9
661199,778269,77
376760,214791,43
994520,904005,50
626417,198418,76
813554,408777,80
327680,324291,43
367317,511847,92
620384,803852,77
341576,879053,60
250295,716161,22
534048,751257,69
386673,821553,60
854750,796623,57
844887,19776,33
383249,271130,43
883418,620394,41
964801,416189,7
902504,390258,7
74399,429715,93
223790,239575,55
552139,814155,11
516846,642578,2
822119,358702,80
709654,167894,72
807477,278000,45
359047,513118,92
989323,555229,67
734375,650304,39
661679,842450,95
72134,360306,93
669352,806694,95
106581,312340,68
513709,915202,71
801957,495907,63
725267,570966,39
239062,924139,29
4986,808315,27
353592,834880,60
839796,454535,63
374671,108680,47
592807,314266,52
880309,355704,58
327136,184438,31
855266,459639,7
154120,306519,68
672925,858988,95
25724,353126,93
998767,287106,40
403714,223334,62
576057,802292,77
127505,976868,73
225842,738540,97
646862,809815,77
561670,1315,20
111739,2849,88
893928,255271,58
349886,542663,3
542610,659326,2
304556,687893,22
434005,323590,8
589821,134435,37
462490,70127,26
629891,585425,15
253674,504712,3
696317,16186,16
52367,132880,53
315584,25240,23
210313,743236,97
574919,671006,69
608211,212948,76
31110,873539,10
579454,892040,11
521551,712622,69
41863,596998,66
751981,550487,86
35726,446954,93
959509,480178,67
357800,549171,92
923869,471037,7
731501,345154,45
16405,722120,27
675589,628740,81
237498,636867,14
829868,607283,41
621287,975722,49
973083,621237,89
132736,906385,73
616378,468377,35
14476,303459,59
245720,816957,12
608290,539205,15
424689,751438,13
430810,628092,79
345266,893285,60
456783,165931,62
810127,812538,85
334136,834506,12
549359,88853,37
352562,523797,3
458504,87214,26
817071,518386,63
520241,704018,69
443985,70005,47
588148,7255,20
937220,858295,28
379421,943657,87
52889,905543,10
469229,342547,8
188338,400091,4
335425,498812,3
536861,26511,26
579792,570720,15
104485,89116,24
780534,447421,63
815274,324253,45
733585,370990,90
235025,68069,23
47294,877899,10
859542,324578,58
186882,928701,73
689450,600241,39
266814,354545,17
842451,76321,33
733023,918199,34
184514,137053,82
455505,682579,98
107825,225534,54
556607,898878,11
458725,805522,51
420218,606961,79
197918,418513,4
953410,967169,50
215132,729668,97
532081,695311,69
97791,579595,66
262600,528353,3
31083,414922,93
596607,175765,76
82470,85277,24
252503,829532,12
958437,460401,67
966716,608715,89
679522,741861,77
466695,750819,51
22240,788280,27
625487,571436,15
128128,461503,44
481417,186445,62
589343,103250,37
330431,556650,3
624015,829410,95
905440,730891,38
89809,423409,44
243339,806022,97
817059,316019,45
347653,17202,47
127524,307548,68
960467,574613,89
532236,291130,52
25211,730439,27
503756,634589,2
538167,985049,71
730439,490467,86
283424,520330,3
197125,91670,88
697768,401666,90
808041,751828,64
983132,511241,67
432666,828883,0
48384,205276,53
80313,821012,5
757363,8609,16
707157,189128,25
680946,675023,81
127441,915777,73
464064,524562,30
320625,760533,22
294147,739293,22
312291,675442,22
165789,427107,44
397577,92002,47
290437,384309,84
82044,925550,65
721616,213077,25
186101,803504,97
504920,205865,70
980372,124577,6
776937,996788,34
17328,239384,59
332762,745003,22
267561,910812,29
19009,497406,1
906774,166610,6
230936,355255,17
779472,588468,39
394199,317563,8
290800,475775,3
362539,193552,31
44196,805903,27
813759,851464,48
564542,260234,70
763298,762542,85
44144,930766,65
389826,819942,60
765440,760514,85
966042,280601,40
70368,685962,18
964895,1139,61
146132,46477,88
147215,254032,55
524450,432983,94
161411,846487,56
913975,182299,6
909292,474804,7
46046,897454,10
512430,424367,94
349529,550215,3
478212,309860,8
823446,666155,41
77972,484115,1
526598,538193,30
414083,500447,92
18624,25006,24
287518,320761,17
30486,382682,93
751338,737903,42
952214,869233,28
200549,641193,21
542255,683283,69
943362,87182,61
283571,981982,29
172243,900475,56
299713,279151,43
697794,836100,95
339123,647658,96
193305,887822,56
638140,228485,76
149953,269467,55
948273,637831,89
40760,64007,24
770440,791028,85
808978,506184,63
446060,935134,46
809826,753518,64
387116,265002,43
893533,617219,89
601806,554563,15
553467,135407,37
786284,90982,32
141422,887534,56
789736,94881,32
675275,347341,36
775765,297738,45
89194,87366,24
364210,280764,43
805982,141354,32
738005,650951,39
540762,602548,2
28278,269437,59
431553,118445,62
710573,606347,39
879124,448669,7
782282,820982,85
259457,706066,22
852164,326385,58
562070,710548,69
196002,221354,55
306021,297215,43
301958,10359,23
109793,296194,59
136531,678842,78
313124,676199,22
877292,655694,41
250228,591121,14
977002,486192,67
430209,531175,92
471716,133042,62
41837,161437,53
279457,847490,12
779934,351890,45
223913,306152,17
499712,666297,98
460131,429919,19
652146,630747,81
974738,421745,7
270729,152068,82
810341,405655,80
858824,260347,91
659526,658617,81
390842,895279,60
965477,784319,28
64369,856170,10
654323,218280,76
638217,520501,35
65709,374082,93
205302,517220,74
918035,424475,7
152224,438185,44
585705,946647,71
297843,849297,12
146692,467539,44
943533,961072,50
748604,789923,85
252586,226657,55
426687,344493,8
895017,552102,83
178670,911525,56
1627,348707,93
724558,661643,42
239147,350197,17
768439,165283,32
911430,418744,7
831055,548144,83
672461,65380,16
854762,994810,9
776296,213350,25
780540,535883,63
586894,931210,49
856026,239074,91
130708,813366,5
255189,965174,29
693344,48560,16
150135,330008,68
458016,877102,0
468099,356033,8
855049,823421,57
250833,762169,97
776482,340047,45
179205,906942,56
983798,704694,38
802638,939609,9
16014,161869,53
544660,113148,37
689317,352054,36
984868,680902,38
922855,425236,7
955076,975835,50
863676,810105,57
443603,642803,98
599618,782140,77
441281,616519,79
840588,775751,64
54643,393956,93
230453,232462,55
997603,714695,38
888529,521034,83
25289,44722,24
644519,436345,75
654821,587228,15
546599,692868,69
35328,765762,27
175141,595542,74
289130,412239,84
502562,564201,79
536599,627309,2
189077,819114,56
865331,624967,41
821899,668647,41
957923,814533,28
856777,853233,57
292285,447019,3
63966,92841,24
380868,255788,43
36412,991412,65
667741,733999,81
325196,583595,96
488764,667166,98
67141,453105,44
335806,898567,87
222368,343760,17
589718,397795,75
753452,271553,45
218,666513,18
86064,492552,1
331103,860917,12
437529,555893,79
900287,138799,6
797276,820266,85
220819,307277,17
411484,813708,13
5974,405751,93
461672,330896,8
385117,664285,96
653832,955598,49
749923,957199,34
647581,895951,95
263295,210696,55
172066,923309,73
62027,503377,1
270310,113454,82
826725,781561,64
697279,176449,72
591138,271203,52
123186,389876,68
648284,724937,81
27815,496005,1
365009,710649,13
888142,6528,33
732732,42238,16
906359,176035,6
626265,636628,81
812437,629874,41
297298,690003,22
894775,491711,7
190341,69922,88
185334,911032,56
728059,491349,86
114253,261181,59
681789,835962,95
22854,118492,53
508964,170729,37
444857,724577,98
966472,504457,67
421891,732427,13
916412,152779,6
759500,932912,34
463855,26065,26
87796,603038,66
264076,325429,17
490573,73370,26
133243,423548,44
587391,294335,52
900293,241081,40
864629,826222,57
319393,42303,23
989090,639798,89
88958,130479,54
963129,319547,99
637683,550394,15
476744,645707,98
401749,208499,62
255176,755091,97
824497,334896,45
604644,259054,76
936577,58469,61
702505,2611,16
893644,477155,7
557158,159383,37
757319,269378,45
436915,244025,8
341386,678381,22
556456,363597,52
976096,261845,40
837832,455306,63
340140,738492,22
838163,10166,33
863728,683183,41
273097,950126,29
773734,164077,32
652271,725725,81
272943,365600,17
655343,351713,36
243255,402613,4
723965,680854,42
123297,261724,59
804150,361057,80
297167,501711,3
271521,465598,4
320205,686505,22
102040,1116,24
758899,819795,85
307084,162805,31
267077,770362,97
487890,978026,46
686407,447194,90
993502,791547,28
542651,338569,52
337652,918201,87
220304,659358,21
838643,89632,33
452402,525893,92
691637,347229,36
881189,156135,6
175218,898030,56
202446,516774,74
433467,286153,8
381265,933473,87
891852,364863,58
261152,191209,82
652788,414443,75
552273,60222,26
152052,547179,74
447529,629865,79
149661,361168,68
155977,515622,74
69174,623831,18
735693,807013,85
480659,444560,19
731063,990739,34
351500,667669,96
522571,854045,0
946983,952144,50
692021,812608,95
511050,224011,70
966500,978391,50
824190,168318,32
933801,405607,7
51988,766692,27
795650,499217,63
350803,954842,87
41902,262928,59
39298,496141,1
658151,545651,15
758756,412482,90
598829,521751,35
72999,895807,10
831767,524524,83
688145,665722,81
805639,387532,80
260766,707758,22
302174,653878,14
737836,820310,85
953547,269616,40
448563,15009,26
273042,21652,23
919776,682284,38
152520,417282,44
268832,274600,17
218522,701903,21
886238,17152,33
282081,937983,29
695537,894112,95
351414,225027,43
30544,369400,93
509515,434505,94
726246,31457,16
698925,838227,95
90299,656945,18
284910,495104,3
222096,768958,97
885650,129575,6
781288,108898,32
254319,347684,17
541060,609374,2
749789,707047,42
349649,565372,96
222516,835035,56
435364,172746,62
346145,673032,96
