x,y,cluster_id
242578,13469,6
383138,414652,4
67768,993126,0
484308,765337,2
31833,30935,6
932640,887879,5
591329,478778,4
833354,186335,8
735652,115053,8
698658,355604,1
638300,908210,2
294000,264971,9
377493,541620,4
9281,999465,0
12901,842497,0
852470,467010,1
53607,976747,0
196754,856972,0
144213,800662,0
729397,985790,5
183405,499760,9
469862,970991,2
450770,95791,7
974081,390235,1
680670,26669,8
231241,468739,9
97960,415410,9
796294,316402,8
778534,828493,5
487140,369048,4
602845,24264,7
811111,355792,1
806109,274877,8
859817,951019,5
777276,680837,5
835185,961129,5
705424,73751,8
536857,957185,2
418065,418776,4
381617,836927,2
240062,726211,3
431612,116690,7
223913,309587,9
244801,377033,9
807539,314736,8
775229,283334,8
996348,632867,1
600910,509480,4
834128,199442,8
35980,730005,3
197911,293197,9
770346,214750,8
309220,60662,6
557590,416916,4
115944,685545,3
959950,893088,5
136133,997800,0
27973,148064,6
522975,641339,4
989146,578132,1
680530,674978,2
362046,914709,0
530369,917610,2
283108,208988,6
471815,806578,2
161689,514298,3
813117,64168,8
479624,43309,7
902915,294501,8
685730,66033,8
821219,242774,8
310257,492554,4
356179,307990,7
396981,70916,7
886516,684032,5
528226,902819,2
686503,63316,8
152140,23765,6
418942,174793,7
752751,490316,1
747743,329274,8
117577,118127,6
374985,376969,4
728744,14480,8
382012,490499,4
827576,79664,8
923967,118042,8
938251,195973,8
726117,857863,5
103637,838910,0
565110,810400,2
406969,934977,2
160874,816054,0
431739,248100,7
830522,596218,1
645779,608168,4
495466,304382,7
755627,828610,5
455550,438144,4
897430,118944,8
98993,780745,0
997533,539816,1
698849,561277,1
384785,92576,7
929386,192648,8
841254,969376,5
318446,127999,6
288386,909935,0
279052,41813,6
755507,809000,5
866244,973541,5
313587,467795,9
243042,823442,0
599615,743697,2
327666,83176,6
951140,823081,5
527120,310801,7
646964,528517,4
786098,952490,5
515310,819254,2
207082,441170,9
757169,750570,5
841330,249551,8
217528,1761,6
607765,712493,2
871078,223776,8
14974,680695,3
452619,175360,7
288399,131390,6
272306,650010,3
719640,990750,5
535380,148002,7
469616,838895,2
313226,398227,9
5279,739131,3
580105,833601,2
347811,666053,3
354997,440055,4
14917,711650,3
706767,635577,1
146365,957588,0
183773,679719,3
48126,868372,0
730391,687771,5
373259,371670,4
663645,885499,2
586741,364693,4
406085,74556,7
75646,387667,9
531298,530090,4
229012,19601,6
439383,726733,2
208291,749221,3
166750,575130,3
211249,463602,9
769233,500985,1
67848,329471,9
430095,618497,4
83209,503956,9
994746,709053,5
62870,660778,3
710643,782564,5
561766,616936,4
851959,876326,5
416611,994392,2
751597,103922,8
622708,854272,2
763144,172256,8
113940,992884,0
414314,380142,4
62500,450930,9
789565,228458,8
697292,386877,1
247648,231501,6
849283,902588,5
803927,613533,1
663457,738469,2
452902,931007,2
436138,171789,7
273068,465220,9
955457,369525,1
607397,533230,4
999677,575269,1
555215,505000,4
540809,380896,4
724384,729940,5
104473,885740,0
639572,287519,7
332946,834822,0
860169,869593,5
256492,871667,0
117700,192914,6
305697,859094,0
796018,674653,5
900226,112347,8
221747,915444,0
880066,285789,8
257319,771158,0
861762,644236,1
684291,882927,2
369671,66247,7
417820,301777,7
980466,702029,5
7364,783108,0
703318,672688,1
870522,869668,5
524434,177186,7
980344,642136,1
393063,217912,7
447246,868568,2
31640,773725,0
9819,42467,6
744825,278843,8
523351,969780,2
102327,819686,0
470454,926986,2
854907,426604,1
934752,387852,1
632230,906357,2
147351,540271,3
343122,859703,0
37949,811880,0
271485,855588,0
870383,540877,1
534808,524330,4
423039,21274,7
554457,763045,2
498689,467937,4
617602,46054,7
32396,486973,9
571333,395104,4
522923,772502,2
453133,808894,2
94785,52884,6
826935,303685,8
42690,506413,9
285958,109358,6
982686,19644,8
173411,524345,3
675854,86444,8
873180,538256,1
478759,506532,4
299840,413003,9
344194,871591,0
838942,102171,8
196498,555389,3
424329,714240,2
233338,727393,3
302701,508484,3
92123,325340,9
998452,999447,5
711751,399947,1
915277,68584,8
703078,646216,1
966967,821532,5
497813,752719,2
952957,363209,1
467852,199519,7
319607,637251,3
293620,877284,0
523256,367777,4
237859,699470,3
999000,202858,8
442180,722977,2
79262,168652,6
539282,715609,2
251904,750679,3
674102,637241,1
116274,231005,6
506655,355788,4
732259,84308,8
967997,128374,8
585623,581955,4
922186,193661,8
864539,311585,8
811253,744298,5
429059,196341,7
917628,585903,1
274474,86126,6
521532,393337,4
826258,922274,5
661199,778269,2
376760,214791,7
994520,904005,5
626417,198418,7
813554,408777,1
327680,324291,9
367317,511847,4
620384,803852,2
341576,879053,0
250295,716161,3
534048,751257,2
386673,821553,2
854750,796623,5
844887,19776,8
383249,271130,7
883418,620394,1
964801,416189,1
902504,390258,1
74399,429715,9
223790,239575,6
552139,814155,2
516846,642578,4
822119,358702,1
709654,167894,8
807477,278000,8
359047,513118,4
989323,555229,1
734375,650304,1
661679,842450,2
72134,360306,9
669352,806694,2
106581,312340,9
513709,915202,2
801957,495907,1
725267,570966,1
239062,924139,0
4986,808315,0
353592,834880,0
839796,454535,1
374671,108680,7
592807,314266,7
880309,355704,1
327136,184438,6
855266,459639,1
154120,306519,9
672925,858988,2
25724,353126,9
998767,287106,8
403714,223334,7
576057,802292,2
127505,976868,0
225842,738540,3
646862,809815,2
561670,1315,7
111739,2849,6
893928,255271,8
349886,542663,4
542610,659326,2
304556,687893,3
434005,323590,7
589821,134435,7
462490,70127,7
629891,585425,4
253674,504712,3
696317,16186,8
52367,132880,6
315584,25240,6
210313,743236,3
574919,671006,2
608211,212948,7
31110,873539,0
579454,892040,2
521551,712622,2
41863,596998,3
751981,550487,1
35726,446954,9
959509,480178,1
357800,549171,4
923869,471037,1
731501,345154,1
16405,722120,3
675589,628740,1
237498,636867,3
829868,607283,1
621287,975722,2
973083,621237,1
132736,906385,0
616378,468377,4
14476,303459,9
245720,816957,0
608290,539205,4
424689,751438,2
430810,628092,4
345266,893285,0
456783,165931,7
810127,812538,5
334136,834506,0
549359,88853,7
352562,523797,4
