x,y,cluster_id
242578,13469,7
383138,414652,24
67768,993126,3
484308,765337,74
31833,30935,16
932640,887879,67
591329,478778,73
833354,186335,38
735652,115053,54
698658,355604,81
638300,908210,76
294000,264971,82
377493,541620,49
9281,999465,3
12901,842497,20
852470,467010,34
53607,976747,3
196754,856972,44
144213,800662,97
729397,985790,43
183405,499760,1
469862,970991,25
450770,95791,59
974081,390235,63
680670,26669,46
231241,468739,29
97960,415410,10
796294,316402,94
778534,828493,23
487140,369048,84
602845,24264,36
811111,355792,94
806109,274877,31
859817,951019,27
777276,680837,56
835185,961129,27
705424,73751,46
536857,957185,4
418065,418776,24
381617,836927,26
240062,726211,65
431612,116690,59
223913,309587,91
244801,377033,29
807539,314736,94
775229,283334,86
996348,632867,32
600910,509480,90
834128,199442,38
35980,730005,50
197911,293197,91
770346,214750,86
309220,60662,35
557590,416916,84
115944,685545,41
959950,893088,67
136133,997800,21
27973,148064,78
522975,641339,88
989146,578132,32
680530,674978,9
362046,914709,26
530369,917610,4
283108,208988,62
471815,806578,74
161689,514298,1
813117,64168,87
479624,43309,61
902915,294501,31
685730,66033,46
821219,242774,31
310257,492554,79
356179,307990,82
396981,70916,59
886516,684032,56
528226,902819,19
686503,63316,46
152140,23765,0
418942,174793,52
752751,490316,71
747743,329274,94
117577,118127,95
374985,376969,24
728744,14480,14
382012,490499,22
827576,79664,87
923967,118042,47
938251,195973,42
726117,857863,75
103637,838910,97
565110,810400,2
406969,934977,25
160874,816054,97
431739,248100,52
830522,596218,55
645779,608168,96
495466,304382,39
755627,828610,23
455550,438144,84
897430,118944,47
98993,780745,97
997533,539816,93
698849,561277,80
384785,92576,59
929386,192648,47
841254,969376,27
318446,127999,62
288386,909935,18
279052,41813,7
755507,809000,23
866244,973541,27
313587,467795,79
243042,823442,18
599615,743697,37
327666,83176,35
951140,823081,67
527120,310801,99
646964,528517,96
786098,952490,43
515310,819254,74
207082,441170,29
757169,750570,6
841330,249551,31
217528,1761,7
607765,712493,37
871078,223776,31
14974,680695,64
452619,175360,52
288399,131390,62
272306,650010,11
719640,990750,43
535380,148002,12
469616,838895,19
313226,398227,5
5279,739131,50
580105,833601,2
347811,666053,45
354997,440055,79
14917,711650,50
706767,635577,72
146365,957588,21
183773,679719,11
48126,868372,20
730391,687771,72
373259,371670,24
663645,885499,75
586741,364693,99
406085,74556,59
75646,387667,10
531298,530090,90
229012,19601,7
439383,726733,30
208291,749221,65
166750,575130,15
211249,463602,29
769233,500985,80
67848,329471,69
430095,618497,66
83209,503956,13
994746,709053,70
62870,660778,64
710643,782564,6
561766,616936,88
851959,876326,27
416611,994392,25
751597,103922,14
622708,854272,2
763144,172256,54
113940,992884,21
414314,380142,24
62500,450930,10
789565,228458,86
697292,386877,81
247648,231501,91
849283,902588,27
803927,613533,55
663457,738469,37
452902,931007,25
436138,171789,52
273068,465220,79
955457,369525,85
607397,533230,96
999677,575269,32
555215,505000,90
540809,380896,99
724384,729940,6
104473,885740,44
639572,287519,53
332946,834822,28
860169,869593,8
256492,871667,18
117700,192914,95
305697,859094,28
796018,674653,56
900226,112347,47
221747,915444,92
880066,285789,31
257319,771158,65
861762,644236,56
684291,882927,75
369671,66247,35
417820,301777,39
980466,702029,70
7364,783108,50
703318,672688,72
870522,869668,8
524434,177186,12
980344,642136,32
393063,217912,52
447246,868568,19
31640,773725,50
9819,42467,16
744825,278843,86
523351,969780,4
102327,819686,97
470454,926986,19
854907,426604,34
934752,387852,63
632230,906357,76
147351,540271,15
343122,859703,26
37949,811880,20
271485,855588,18
870383,540877,55
534808,524330,90
423039,21274,61
554457,763045,74
498689,467937,84
617602,46054,36
32396,486973,10
571333,395104,99
522923,772502,74
453133,808894,57
94785,52884,16
826935,303685,31
42690,506413,13
285958,109358,7
982686,19644,83
173411,524345,1
675854,86444,46
873180,538256,55
478759,506532,22
299840,413003,5
344194,871591,26
838942,102171,87
196498,555389,98
424329,714240,30
233338,727393,65
302701,508484,79
92123,325340,69
998452,999447,51
711751,399947,71
915277,68584,83
703078,646216,72
966967,821532,67
497813,752719,74
952957,363209,85
467852,199519,52
319607,637251,45
293620,877284,18
523256,367777,84
237859,699470,11
999000,202858,42
442180,722977,30
79262,168652,95
539282,715609,33
251904,750679,65
674102,637241,72
