x,y,cluster_id
242578,13469,67
383138,414652,0
67768,993126,61
484308,765337,19
31833,30935,26
932640,887879,4
591329,478778,7
833354,186335,84
735652,115053,52
698658,355604,94
638300,908210,73
294000,264971,35
377493,541620,78
9281,999465,61
12901,842497,16
852470,467010,66
53607,976747,61
196754,856972,12
144213,800662,12
729397,985790,42
183405,499760,53
469862,970991,41
450770,95791,40
974081,390235,62
680670,26669,63
231241,468739,49
97960,415410,92
796294,316402,43
778534,828493,47
487140,369048,1
602845,24264,9
811111,355792,69
806109,274877,43
859817,951019,33
777276,680837,6
835185,961129,33
705424,73751,63
536857,957185,97
418065,418776,0
381617,836927,74
240062,726211,57
431612,116690,40
223913,309587,68
244801,377033,68
807539,314736,43
775229,283334,43
996348,632867,20
600910,509480,77
834128,199442,84
35980,730005,32
197911,293197,68
770346,214750,54
309220,60662,38
557590,416916,7
115944,685545,59
959950,893088,4
136133,997800,76
27973,148064,90
522975,641339,58
989146,578132,95
680530,674978,34
362046,914709,29
530369,917610,99
283108,208988,56
471815,806578,19
161689,514298,53
813117,64168,44
479624,43309,11
902915,294501,21
685730,66033,63
821219,242774,82
310257,492554,14
356179,307990,87
396981,70916,24
886516,684032,20
528226,902819,99
686503,63316,63
152140,23765,81
418942,174793,83
752751,490316,75
747743,329274,43
117577,118127,96
374985,376969,0
728744,14480,63
382012,490499,18
827576,79664,44
923967,118042,2
938251,195973,2
726117,857863,47
103637,838910,12
565110,810400,99
406969,934977,41
160874,816054,12
431739,248100,70
830522,596218,48
645779,608168,89
495466,304382,70
755627,828610,47
455550,438144,85
897430,118944,80
98993,780745,32
997533,539816,95
698849,561277,89
384785,92576,40
929386,192648,2
841254,969376,33
318446,127999,88
288386,909935,86
279052,41813,38
755507,809000,47
866244,973541,33
313587,467795,14
243042,823442,86
599615,743697,15
327666,83176,38
951140,823081,72
527120,310801,1
646964,528517,5
786098,952490,33
515310,819254,19
207082,441170,49
757169,750570,47
841330,249551,82
217528,1761,67
607765,712493,15
871078,223776,82
14974,680695,79
452619,175360,3
288399,131390,88
272306,650010,23
719640,990750,42
535380,148002,3
469616,838895,19
313226,398227,17
5279,739131,32
580105,833601,99
347811,666053,98
354997,440055,18
14917,711650,79
706767,635577,89
146365,957588,76
183773,679719,37
48126,868372,16
730391,687771,34
373259,371670,0
663645,885499,73
586741,364693,46
406085,74556,40
75646,387667,55
531298,530090,77
229012,19601,67
439383,726733,31
208291,749221,57
166750,575130,53
211249,463602,49
769233,500985,75
67848,329471,55
430095,618497,60
83209,503956,27
994746,709053,20
62870,660778,79
710643,782564,47
561766,616936,10
851959,876326,30
416611,994392,41
751597,103922,63
622708,854272,73
763144,172256,54
113940,992884,61
414314,380142,0
62500,450930,39
789565,228458,54
697292,386877,94
247648,231501,65
849283,902588,30
803927,613533,6
663457,738469,34
452902,931007,41
436138,171789,83
273068,465220,14
955457,369525,62
607397,533230,77
999677,575269,95
555215,505000,77
540809,380896,1
724384,729940,34
104473,885740,16
639572,287519,28
332946,834822,50
860169,869593,30
256492,871667,86
117700,192914,25
305697,859094,86
796018,674653,6
900226,112347,80
221747,915444,76
880066,285789,82
257319,771158,50
861762,644236,48
684291,882927,73
369671,66247,24
417820,301777,70
980466,702029,20
7364,783108,32
703318,672688,34
870522,869668,30
524434,177186,3
980344,642136,20
393063,217912,83
447246,868568,74
31640,773725,32
9819,42467,26
744825,278843,43
523351,969780,97
102327,819686,12
470454,926986,41
854907,426604,66
934752,387852,62
632230,906357,97
147351,540271,53
343122,859703,74
37949,811880,32
271485,855588,86
870383,540877,66
534808,524330,77
423039,21274,11
554457,763045,15
498689,467937,85
617602,46054,9
32396,486973,39
571333,395104,7
522923,772502,19
453133,808894,19
94785,52884,81
826935,303685,69
42690,506413,39
285958,109358,88
982686,19644,22
173411,524345,53
675854,86444,52
873180,538256,66
478759,506532,85
299840,413003,17
344194,871591,74
838942,102171,84
196498,555389,53
424329,714240,31
233338,727393,57
302701,508484,14
92123,325340,36
998452,999447,4
711751,399947,94
915277,68584,80
703078,646216,89
966967,821532,72
497813,752719,19
952957,363209,21
467852,199519,3
319607,637251,98
293620,877284,86
523256,367777,1
237859,699470,57
999000,202858,2
442180,722977,31
79262,168652,90
539282,715609,15
251904,750679,57
674102,637241,89
116274,231005,25
506655,355788,1
732259,84308,63
967997,128374,2
585623,581955,77
922186,193661,2
864539,311585,69
811253,744298,91
429059,196341,83
917628,585903,95
274474,86126,38
521532,393337,1
826258,922274,33
661199,778269,73
376760,214791,83
994520,904005,4
626417,198418,28
813554,408777,93
327680,324291,87
367317,511847,18
620384,803852,73
341576,879053,74
250295,716161,57
534048,751257,15
386673,821553,74
854750,796623,30
844887,19776,44
383249,271130,87
883418,620394,48
964801,416189,62
902504,390258,69
74399,429715,39
223790,239575,65
552139,814155,99
516846,642578,58
822119,358702,69
709654,167894,52
807477,278000,43
359047,513118,18
989323,555229,95
734375,650304,6
661679,842450,73
72134,360306,55
669352,806694,73
106581,312340,36
513709,915202,99
801957,495907,75
725267,570966,89
239062,924139,86
4986,808315,32
353592,834880,74
839796,454535,66
374671,108680,40
592807,314266,46
880309,355704,69
327136,184438,88
855266,459639,66
154120,306519,36
672925,858988,73
25724,353126,55
998767,287106,21
403714,223334,83
576057,802292,15
127505,976868,76
225842,738540,57
646862,809815,73
561670,1315,51
111739,2849,81
893928,255271,82
349886,542663,78
542610,659326,58
304556,687893,98
434005,323590,70
589821,134435,13
462490,70127,11
629891,585425,89
253674,504712,14
696317,16186,63
52367,132880,90
315584,25240,38
210313,743236,57
574919,671006,10
608211,212948,13
31110,873539,16
579454,892040,99
521551,712622,58
41863,596998,8
751981,550487,75
35726,446954,39
959509,480178,62
357800,549171,78
923869,471037,66
731501,345154,94
16405,722120,79
675589,628740,89
237498,636867,23
829868,607283,48
621287,975722,97
973083,621237,95
132736,906385,76
616378,468377,7
14476,303459,45
245720,816957,86
608290,539205,77
424689,751438,31
430810,628092,60
345266,893285,74
456783,165931,3
810127,812538,30
334136,834506,50
549359,88853,51
352562,523797,78
458504,87214,11
817071,518386,75
520241,704018,58
443985,70005,11
588148,7255,9
937220,858295,72
379421,943657,29
52889,905543,16
469229,342547,1
188338,400091,49
335425,498812,18
536861,26511,51
579792,570720,77
104485,89116,96
780534,447421,93
815274,324253,69
733585,370990,94
235025,68069,67
47294,877899,16
859542,324578,69
186882,928701,76
689450,600241,89
266814,354545,35
842451,76321,80
733023,918199,42
184514,137053,71
455505,682579,58
107825,225534,25
556607,898878,99
458725,805522,19
420218,606961,60
197918,418513,49
953410,967169,4
215132,729668,57
532081,695311,58
97791,579595,8
262600,528353,14
31083,414922,39
596607,175765,13
82470,85277,26
252503,829532,86
958437,460401,62
966716,608715,95
679522,741861,34
466695,750819,19
22240,788280,32
625487,571436,89
128128,461503,27
481417,186445,3
589343,103250,13
330431,556650,78
624015,829410,73
905440,730891,20
89809,423409,92
243339,806022,50
817059,316019,69
347653,17202,24
127524,307548,36
960467,574613,95
532236,291130,64
25211,730439,32
503756,634589,58
538167,985049,97
730439,490467,5
283424,520330,14
197125,91670,67
697768,401666,94
808041,751828,91
983132,511241,95
432666,828883,74
48384,205276,90
80313,821012,32
757363,8609,44
707157,189128,54
680946,675023,34
127441,915777,76
464064,524562,60
320625,760533,50
294147,739293,50
312291,675442,98
165789,427107,49
397577,92002,40
290437,384309,17
82044,925550,61
721616,213077,54
186101,803504,12
504920,205865,3
980372,124577,2
776937,996788,33
17328,239384,45
332762,745003,50
267561,910812,86
19009,497406,39
906774,166610,2
230936,355255,68
779472,588468,75
394199,317563,87
290800,475775,14
362539,193552,83
44196,805903,32
813759,851464,30
564542,260234,64
763298,762542,47
44144,930766,61
389826,819942,74
765440,760514,47
966042,280601,21
70368,685962,79
964895,1139,22
146132,46477,81
147215,254032,36
524450,432983,85
161411,846487,12
913975,182299,2
909292,474804,66
46046,897454,16
512430,424367,85
349529,550215,78
478212,309860,70
823446,666155,6
77972,484115,39
526598,538193,77
414083,500447,18
18624,25006,26
287518,320761,35
30486,382682,55
751338,737903,34
952214,869233,72
200549,641193,37
542255,683283,58
943362,87182,22
283571,981982,29
172243,900475,76
299713,279151,35
697794,836100,47
339123,647658,98
193305,887822,76
638140,228485,28
149953,269467,36
948273,637831,20
40760,64007,26
770440,791028,47
808978,506184,75
446060,935134,41
809826,753518,91
387116,265002,87
893533,617219,48
601806,554563,77
553467,135407,13
786284,90982,44
141422,887534,12
789736,94881,44
675275,347341,94
775765,297738,43
89194,87366,96
364210,280764,87
805982,141354,84
738005,650951,6
540762,602548,77
28278,269437,45
431553,118445,40
710573,606347,89
879124,448669,66
782282,820982,47
259457,706066,57
852164,326385,69
562070,710548,15
196002,221354,65
306021,297215,35
301958,10359,38
109793,296194,36
136531,678842,37
313124,676199,98
877292,655694,48
250228,591121,23
977002,486192,62
430209,531175,60
471716,133042,3
41837,161437,90
279457,847490,86
779934,351890,43
223913,306152,68
499712,666297,58
460131,429919,85
652146,630747,89
974738,421745,62
270729,152068,88
810341,405655,93
858824,260347,82
659526,658617,34
390842,895279,74
965477,784319,72
64369,856170,16
654323,218280,28
638217,520501,5
65709,374082,55
205302,517220,53
918035,424475,62
152224,438185,27
585705,946647,97
297843,849297,86
146692,467539,27
943533,961072,4
748604,789923,47
252586,226657,65
426687,344493,0
895017,552102,48
178670,911525,76
1627,348707,55
724558,661643,6
239147,350197,68
768439,165283,54
911430,418744,62
831055,548144,75
672461,65380,63
854762,994810,33
776296,213350,54
780540,535883,75
586894,931210,97
856026,239074,82
130708,813366,12
255189,965174,29
693344,48560,63
150135,330008,36
458016,877102,74
468099,356033,1
855049,823421,30
250833,762169,57
776482,340047,43
179205,906942,76
983798,704694,20
802638,939609,33
16014,161869,90
544660,113148,51
689317,352054,94
984868,680902,20
922855,425236,62
955076,975835,4
863676,810105,30
443603,642803,58
